Date,Year,Month,Event,Event_Type,Total_Tourist_Arrivals,Domestic_Tourists,International_Tourists,Hotel_Occupancy(%),Average_Stay_Duration(days),Tourism_Revenue(INR),Cruise_Arrivals,Airport_Footfall,Temperature(C),Rainfall(mm),Flight_Delays,Monsoon_Impact_Flag,Most_Visited_Place,Agency_or_Package,Lag_1_Month,Lag_3_Month,Lag_6_Month,Moving_Average,Seasonal_Index
2024-10-25,2024,10,Cruise Season,Cruise Tourism,66612,52108,14504,75.68,4.84,135900956.79,1969,73557,24.86,337.75,3,1,Chinese Fishing Nets,Private Agency,68865,73491,65729,68674,0.82
2023-10-31,2023,10,Onam Festival,Festival,104255,70009,34246,73.1,3.75,135168082.5,120,108164,26.24,324.14,12,1,Cherai Beach,Travel Group,101555,103695,101564,102767,1.12
2024-10-26,2024,10,No Major Event,None,114136,87793,26343,86.32,4.8,244097478.03,88,124798,29.93,235.16,43,0,Lulu Mall,Private Agency,116787,105812,128171,116226,1.01
2022-02-11,2022,2,Biennale,Arts & Cultural,111811,82902,28909,72.19,3.67,167300113.42,1022,117979,31.69,369.63,13,1,Cherai Beach,Government Package,114933,121547,124698,118247,0.85
2022-08-23,2022,8,Cruise Season,Cruise Tourism,78805,56093,22712,51.82,2.08,123323569.73,670,92500,24.07,7.26,43,0,Chinese Fishing Nets,Self-Planned,76166,80096,87841,80727,1.05
2023-02-17,2023,2,No Major Event,None,92088,63150,28938,54.61,3.52,163558097.71,158,106550,27.96,318.33,19,1,Chinese Fishing Nets,Private Agency,89953,87928,81798,87941,1.06
2023-08-26,2023,8,Peak Season,Tourism,70525,49459,21066,50.39,1.88,109208107.7,759,79433,30.37,243.06,31,0,Hill Palace,Travel Group,72167,61614,52337,64160,1.18
2023-04-02,2023,4,Wedding Season,MICE,61115,44272,16843,51.37,1.72,121871073.78,107,72021,27.93,89.17,14,0,Mattancherry Palace,Private Agency,64820,60518,65704,63039,0.95
2024-09-23,2024,9,Onam Festival,Festival,99441,73448,25993,67.54,2.28,210176971.42,129,108315,29.54,327.54,35,1,Mattancherry Palace,Travel Group,96175,104520,103413,100887,1.06
2024-02-13,2024,2,Conference,MICE,104646,70035,34611,59.35,3.58,133484764.62,102,118198,27.09,255.64,11,0,Fort Kochi,Private Agency,109342,96938,100949,102968,1.11
2022-10-23,2022,10,Onam Festival,Festival,76471,56146,20325,74.54,5.06,154700649.34,65,86583,29.64,67.57,29,0,Lulu Mall,Government Package,73515,84277,92443,81676,1.04
2023-01-23,2023,1,Cruise Season,Cruise Tourism,129776,88432,41344,54.92,2.13,341623822.23,1132,144783,25.19,271.72,32,0,Fort Kochi,Government Package,128484,121216,126702,126544,1.02
2023-02-09,2023,2,Conference,MICE,70855,55865,14990,55.25,1.98,197960061.74,188,78442,31.15,344.96,42,1,Fort Kochi,Travel Group,66238,75393,67233,69929,0.98
2022-03-25,2022,3,Conference,MICE,83772,51522,32250,62.18,3.83,135685697.84,81,92162,25.64,599.41,47,1,Lulu Mall,Private Agency,85848,84675,88251,85636,0.91
2024-02-11,2024,2,Wedding Season,MICE,54743,37562,17181,87.22,5.39,137263270.91,173,66158,28.99,393.58,15,1,Bolgatty Palace,Private Agency,53416,52821,54828,53952,1.0
2023-12-22,2023,12,Monsoon Dip,Low Season,58975,35440,23535,83.88,5.35,84718140.09,34,65661,24.53,235.69,25,0,Chottanikkara Temple,Travel Group,63962,66568,51368,60218,1.14
2022-11-13,2022,11,Onam Festival,Festival,62051,40522,21529,63.95,4.38,131590440.25,170,67207,29.95,398.24,39,1,Chinese Fishing Nets,Private Agency,62641,65246,52461,60599,0.87
2024-12-01,2024,12,Onam Festival,Festival,61777,46854,14923,65.6,2.96,176088361.48,56,71726,28.49,529.49,8,1,Bolgatty Palace,Self-Planned,66720,54989,60424,60977,1.11
2023-09-09,2023,9,Conference,MICE,63934,47492,16442,57.43,1.69,183479628.87,199,72687,27.26,466.73,43,1,Hill Palace,Travel Group,59909,65858,48842,59635,1.1
2022-03-03,2022,3,Onam Festival,Festival,125838,97341,28497,70.1,3.41,170172474.67,104,131266,25.34,503.02,20,1,Chottanikkara Temple,Government Package,127184,126571,122373,125491,0.91
2024-03-22,2024,3,Biennale,Arts & Cultural,91122,65298,25824,76.81,2.55,256907783.64,140,109999,24.07,78.94,31,0,Cherai Beach,Self-Planned,92993,100203,101001,96329,1.15
2023-11-29,2023,11,Conference,MICE,83706,52822,30884,82.0,4.04,225093429.08,75,87992,26.54,245.37,7,0,Lulu Mall,Private Agency,88611,78371,74722,81352,0.83
2023-07-16,2023,7,Monsoon Dip,Low Season,95597,61670,33927,78.58,2.78,172092651.05,199,100192,29.16,584.6,45,1,Mattancherry Palace,Private Agency,92878,102066,109381,99980,0.82
2023-02-23,2023,2,Onam Festival,Festival,75636,54768,20868,81.72,2.99,140254139.49,39,81980,28.55,136.18,16,0,Marine Drive,Self-Planned,76533,78411,75325,76476,1.12
2024-11-06,2024,11,Conference,MICE,75814,54504,21310,93.7,3.4,162155430.73,114,92167,24.25,11.27,36,0,Cherai Beach,Government Package,75266,65830,94268,77794,0.96
2022-11-24,2022,11,Biennale,Arts & Cultural,68697,46261,22436,53.01,5.06,88487389.15,2429,84794,26.78,216.57,11,0,Lulu Mall,Private Agency,67796,75278,87726,74874,0.87
2024-07-09,2024,7,Biennale,Arts & Cultural,87880,58749,29131,55.98,5.18,184342438.28,2738,104541,32.58,475.94,8,1,Lulu Mall,Private Agency,86403,87276,92471,88507,0.83
2022-03-29,2022,3,Monsoon Dip,Low Season,119104,92601,26503,91.25,4.43,333321566.22,136,137980,25.15,558.55,7,1,Hill Palace,Government Package,115989,120780,124127,120000,1.13
2024-09-05,2024,9,Cruise Season,Cruise Tourism,91474,64758,26716,81.01,3.44,112466831.83,1047,102766,25.93,493.65,13,1,Chinese Fishing Nets,Private Agency,93538,95072,110748,97708,0.83
2022-12-15,2022,12,Wedding Season,MICE,54910,38606,16304,54.09,5.38,93172028.37,169,65531,25.91,210.92,16,0,Bolgatty Palace,Private Agency,52566,51697,67251,56606,1.06
2022-05-17,2022,5,Conference,MICE,76351,60500,15851,58.87,5.0,119953103.37,159,82693,29.79,100.98,42,0,Lulu Mall,Government Package,75758,69575,90473,78039,1.08
2023-10-15,2023,10,Cruise Season,Cruise Tourism,105427,73119,32308,68.62,5.47,246620453.91,2768,108567,24.98,221.89,46,0,Mattancherry Palace,Government Package,102862,113614,115636,109384,1.1
2023-02-20,2023,2,Onam Festival,Festival,69452,51575,17877,86.53,2.9,90348525.36,53,87385,32.97,227.34,45,0,Chinese Fishing Nets,Travel Group,68967,70887,55391,66174,0.96
2022-05-10,2022,5,Monsoon Dip,Low Season,77893,60403,17490,78.97,5.11,143808242.87,73,91262,26.91,157.31,12,0,Lulu Mall,Self-Planned,79156,76509,70298,75964,1.11
2022-02-14,2022,2,Peak Season,Tourism,76451,54121,22330,80.78,1.58,97409011.97,2184,96233,26.84,522.17,13,1,Chottanikkara Temple,Travel Group,74100,74160,70458,73792,0.93
2023-06-14,2023,6,Monsoon Dip,Low Season,78476,61700,16776,94.75,2.68,94269205.66,196,88837,26.95,134.81,46,0,Chottanikkara Temple,Private Agency,80568,71972,89322,80084,0.86
2023-09-15,2023,9,Biennale,Arts & Cultural,124890,90900,33990,63.83,3.42,254608558.39,978,130609,25.46,143.54,24,0,Chinese Fishing Nets,Travel Group,125829,129069,138569,129589,1.06
2022-10-31,2022,10,Biennale,Arts & Cultural,109980,79520,30460,69.81,3.39,161980561.13,996,113734,32.62,109.53,33,0,Bolgatty Palace,Government Package,105293,111919,98385,106394,0.85
2023-11-06,2023,11,No Major Event,None,57149,42952,14197,73.3,5.37,139595350.55,87,73457,27.18,34.23,37,0,Chottanikkara Temple,Private Agency,53966,54364,46504,52995,1.0
2024-09-28,2024,9,No Major Event,None,128505,83487,45018,65.28,5.28,341083065.51,56,141955,27.16,132.87,44,0,Hill Palace,Government Package,127455,123185,136430,128893,0.93
2023-05-29,2023,5,Onam Festival,Festival,60386,42443,17943,94.82,5.13,177677016.02,110,66223,32.32,387.49,5,1,Lulu Mall,Government Package,60341,54399,77171,63074,1.05
2023-07-26,2023,7,Onam Festival,Festival,71133,54479,16654,59.87,2.4,108049963.68,144,75385,27.11,599.27,42,1,Mattancherry Palace,Government Package,71613,67868,74981,71398,0.82
2023-11-05,2023,11,Peak Season,Tourism,86988,62137,24851,57.18,1.99,239050236.87,262,94098,32.39,67.24,26,0,Marine Drive,Government Package,87644,91497,87747,88469,1.08
2024-11-01,2024,11,Wedding Season,MICE,78699,53114,25585,51.24,2.25,164033740.73,114,92265,29.41,291.23,34,0,Hill Palace,Private Agency,76257,83871,94992,83454,1.02
2023-04-24,2023,4,Biennale,Arts & Cultural,89781,58504,31277,74.57,4.94,157491558.08,141,95231,28.77,109.5,38,0,Hill Palace,Government Package,93903,98824,91574,93520,1.0
2023-08-28,2023,8,Conference,MICE,112143,83300,28843,94.88,3.63,216265221.81,154,124486,32.65,273.3,29,0,Chottanikkara Temple,Government Package,111685,118300,112436,113641,0.97
2023-12-31,2023,12,No Major Event,None,84395,60342,24053,69.1,2.23,247994904.17,184,92007,24.25,526.77,12,1,Cherai Beach,Private Agency,88829,77459,71945,80657,0.92
2024-05-25,2024,5,No Major Event,None,86940,64604,22336,78.12,3.35,133978200.27,94,93859,28.21,314.63,4,1,Bolgatty Palace,Travel Group,84329,82143,92223,86408,0.95
2024-11-20,2024,11,Wedding Season,MICE,98492,72446,26046,85.27,2.05,210770816.63,195,102652,29.69,442.2,40,1,Chinese Fishing Nets,Government Package,101951,93235,92422,96525,0.81
2023-01-13,2023,1,Onam Festival,Festival,87836,61368,26468,90.81,2.46,208890654.72,112,97048,26.67,266.88,49,0,Bolgatty Palace,Private Agency,86333,84804,75698,83667,0.94
2024-03-19,2024,3,Conference,MICE,86732,54217,32515,80.6,5.05,216789271.94,144,98004,30.7,403.33,15,1,Lulu Mall,Self-Planned,87501,90661,75172,85016,1.14
2023-01-08,2023,1,Wedding Season,MICE,127963,82320,45643,83.28,3.53,375907267.64,21,143696,27.72,147.48,41,0,Hill Palace,Travel Group,126046,121874,138098,128495,1.16
2023-01-23,2023,1,Wedding Season,MICE,93574,73172,20402,56.1,2.03,221213984.02,118,104859,25.98,410.45,44,1,Lulu Mall,Travel Group,96899,84163,105830,95116,0.97
2023-12-05,2023,12,Biennale,Arts & Cultural,73172,44709,28463,75.47,1.51,165352166.57,2464,78785,30.41,234.58,22,0,Chottanikkara Temple,Private Agency,75294,73386,92597,78612,1.2
2023-02-28,2023,2,Onam Festival,Festival,115635,70309,45326,86.39,2.37,283125606.6,34,122752,32.48,281.86,19,0,Fort Kochi,Self-Planned,117208,112476,97713,110758,1.14
2024-08-08,2024,8,Peak Season,Tourism,113384,89140,24244,61.26,3.19,321391313.45,1489,129951,24.25,477.66,43,1,Lulu Mall,Self-Planned,116619,110553,108019,112143,1.03
2024-11-29,2024,11,Monsoon Dip,Low Season,95009,74367,20642,70.28,5.37,156018074.85,126,112625,25.27,184.6,25,0,Lulu Mall,Self-Planned,94616,85106,76987,87929,0.94
2023-11-27,2023,11,Wedding Season,MICE,119796,84792,35004,51.43,4.36,205125177.44,25,136915,31.55,150.65,9,0,Bolgatty Palace,Government Package,120369,118164,117278,118901,1.11
2023-04-20,2023,4,Wedding Season,MICE,120642,83361,37281,94.31,5.22,156401421.1,55,139725,30.31,382.39,32,1,Hill Palace,Self-Planned,121540,122642,121118,121485,0.87
2023-06-10,2023,6,Biennale,Arts & Cultural,80539,49856,30683,55.83,2.97,189922924.9,2049,88253,28.25,418.87,46,1,Hill Palace,Government Package,81977,89798,93818,86533,0.89
2022-07-10,2022,7,Monsoon Dip,Low Season,128526,97775,30751,70.63,2.53,380874114.77,104,146005,27.85,342.98,9,1,Hill Palace,Self-Planned,131380,119808,131682,127849,0.89
2024-10-04,2024,10,Wedding Season,MICE,106730,74329,32401,78.74,2.29,199682742.86,166,124766,24.95,560.5,23,1,Bolgatty Palace,Self-Planned,102637,115871,89528,103691,1.04
2023-01-17,2023,1,Wedding Season,MICE,98292,66085,32207,77.67,4.99,190438300.59,128,117866,25.31,313.42,41,1,Hill Palace,Travel Group,101019,89211,100187,97177,0.97
2023-07-11,2023,7,Monsoon Dip,Low Season,117081,74178,42903,79.95,4.07,316659382.93,189,126719,27.81,527.62,8,1,Hill Palace,Government Package,112179,114534,132089,118970,1.13
2023-01-12,2023,1,Cruise Season,Cruise Tourism,113053,70189,42864,62.17,5.43,217062679.79,1084,131992,29.64,546.18,47,1,Lulu Mall,Private Agency,117314,106944,124278,115397,1.2
2022-10-26,2022,10,Peak Season,Tourism,116199,82846,33353,63.04,2.14,150081236.5,2098,121003,28.23,506.51,39,1,Fort Kochi,Travel Group,118188,110268,136023,120169,1.07
2022-12-31,2022,12,No Major Event,None,65947,49874,16073,78.45,4.63,182498467.86,116,74091,31.15,361.94,6,1,Cherai Beach,Government Package,69271,61073,52012,62075,0.96
2023-10-26,2023,10,Monsoon Dip,Low Season,122783,86585,36198,63.0,4.8,353465845.82,49,142065,31.46,41.74,49,0,Lulu Mall,Self-Planned,126087,127130,137156,128289,1.06
2024-02-16,2024,2,Biennale,Arts & Cultural,70655,49973,20682,77.57,3.13,157192240.21,873,74472,27.72,298.02,35,0,Hill Palace,Travel Group,70432,74085,61749,69230,1.14
2024-08-09,2024,8,Onam Festival,Festival,53573,39373,14200,79.92,3.89,158495208.66,64,63747,25.9,548.14,12,1,Chottanikkara Temple,Government Package,58329,57799,44121,53455,1.14
2022-02-23,2022,2,Monsoon Dip,Low Season,114968,72974,41994,68.68,2.66,308713281.33,31,131169,26.96,260.75,9,0,Chinese Fishing Nets,Government Package,114394,112307,121779,115862,1.04
2023-03-01,2023,3,Cruise Season,Cruise Tourism,81362,49187,32175,82.49,3.77,165854111.09,188,91968,24.28,113.21,6,0,Lulu Mall,Self-Planned,77848,80576,63454,75810,1.05
2023-10-29,2023,10,Wedding Season,MICE,62363,42259,20104,81.53,4.57,103935724.58,181,69470,24.0,425.85,23,1,Chinese Fishing Nets,Travel Group,59337,60862,71249,63452,0.83
2022-02-25,2022,2,Cruise Season,Cruise Tourism,68777,54871,13906,93.7,5.4,86123489.76,2732,84161,27.53,503.98,18,1,Hill Palace,Private Agency,69045,65996,80482,71075,1.19
2024-06-25,2024,6,Conference,MICE,53490,34114,19376,92.16,5.23,83085854.43,56,62806,27.42,447.85,49,1,Mattancherry Palace,Self-Planned,58057,55801,62646,57498,1.09
2022-03-17,2022,3,Onam Festival,Festival,63152,40015,23137,93.75,2.29,123070815.38,131,69576,28.42,19.39,23,0,Bolgatty Palace,Private Agency,64590,67024,64864,64907,1.04
2023-04-04,2023,4,Monsoon Dip,Low Season,68913,47471,21442,66.79,2.84,109418514.19,128,83546,26.36,56.68,2,0,Fort Kochi,Government Package,68956,69040,50476,64346,0.84
2024-01-13,2024,1,No Major Event,None,91091,65971,25120,67.75,5.36,118326359.24,97,99592,25.72,422.09,29,1,Chottanikkara Temple,Self-Planned,93228,97995,100444,95689,0.95
2022-06-23,2022,6,Biennale,Arts & Cultural,106152,81887,24265,94.24,5.46,315110016.55,1760,111752,32.79,351.92,9,1,Marine Drive,Government Package,102521,97452,103667,102448,0.86
2023-07-12,2023,7,Peak Season,Tourism,120790,78813,41977,92.36,3.88,257468748.34,2661,138808,32.03,300.49,22,1,Bolgatty Palace,Private Agency,117138,116032,132102,121515,0.88
2022-10-24,2022,10,Onam Festival,Festival,122766,78825,43941,87.81,5.45,219927023.6,23,132377,28.54,467.62,49,1,Hill Palace,Government Package,126343,114813,105137,117264,0.8
2022-08-26,2022,8,Conference,MICE,72767,54387,18380,59.36,1.7,189921281.54,27,88404,29.79,488.5,17,1,Mattancherry Palace,Travel Group,69361,74064,56985,68294,1.16
2023-06-05,2023,6,Conference,MICE,84447,60931,23516,62.02,1.71,252389210.84,51,97555,27.27,376.15,11,1,Lulu Mall,Private Agency,82727,93138,99080,89848,1.07
2023-11-26,2023,11,Monsoon Dip,Low Season,115252,78596,36656,84.86,4.62,273019023.66,20,125466,25.3,529.78,16,1,Lulu Mall,Private Agency,114030,116673,103951,112476,1.11
2024-12-24,2024,12,Peak Season,Tourism,115479,81502,33977,78.14,2.59,250884352.94,2831,132615,31.71,253.48,24,0,Cherai Beach,Travel Group,114341,108980,100267,109766,0.85
2024-10-25,2024,10,Conference,MICE,98851,63068,35783,62.07,5.49,170787782.74,31,102161,28.83,583.39,41,1,Mattancherry Palace,Self-Planned,102182,106317,89450,99200,1.03
2023-06-29,2023,6,Wedding Season,MICE,60446,42640,17806,75.16,1.92,88082468.34,97,73299,29.1,263.52,28,0,Lulu Mall,Self-Planned,56237,62518,76012,63803,1.13
2023-12-09,2023,12,Peak Season,Tourism,81855,51967,29888,71.23,3.81,139635162.48,785,89578,27.71,200.39,30,0,Mattancherry Palace,Travel Group,80056,79282,99106,85074,1.14
2023-09-07,2023,9,Conference,MICE,121837,97038,24799,52.93,1.88,163628037.22,60,130479,30.82,21.92,41,0,Fort Kochi,Travel Group,124187,115072,123407,121125,1.1
2022-03-27,2022,3,Cruise Season,Cruise Tourism,79846,57968,21878,50.13,2.38,181789707.82,1694,97207,28.75,199.91,39,0,Mattancherry Palace,Travel Group,84782,75571,86637,81709,1.19
2023-11-27,2023,11,Cruise Season,Cruise Tourism,101313,66837,34476,66.51,1.54,268891095.03,2341,118792,31.09,141.98,41,0,Chinese Fishing Nets,Private Agency,101470,103006,110968,104189,1.18
2024-08-19,2024,8,Wedding Season,MICE,57030,44133,12897,76.68,4.94,95717686.97,83,73785,27.82,1.08,40,0,Bolgatty Palace,Travel Group,52833,57430,65102,58098,0.98
2023-06-14,2023,6,Wedding Season,MICE,71959,43779,28180,84.11,1.55,126516006.11,31,89514,28.41,561.97,11,1,Hill Palace,Private Agency,74886,75314,53098,68814,1.1
2024-07-27,2024,7,Onam Festival,Festival,54072,33412,20660,68.6,4.59,154762040.46,194,57180,30.6,479.12,17,1,Chottanikkara Temple,Private Agency,50020,58673,71618,58595,1.01
2022-08-23,2022,8,Biennale,Arts & Cultural,76678,46301,30377,66.44,2.7,103630765.14,2208,85766,32.6,131.52,21,0,Mattancherry Palace,Self-Planned,78893,80686,91964,82055,1.04
2023-04-05,2023,4,Wedding Season,MICE,95629,63084,32545,86.16,1.79,197437116.81,110,101931,31.36,595.72,37,1,Fort Kochi,Travel Group,94067,91986,103794,96369,0.91
2022-12-29,2022,12,Biennale,Arts & Cultural,116867,82292,34575,85.04,4.12,310526984.84,2889,126085,29.15,208.72,34,0,Fort Kochi,Government Package,119530,115150,114827,116593,0.91
2023-04-06,2023,4,Cruise Season,Cruise Tourism,126071,89003,37068,51.11,3.67,254176867.21,1837,140081,32.61,27.43,10,0,Bolgatty Palace,Private Agency,126161,125987,113749,122992,0.81
2023-02-07,2023,2,Wedding Season,MICE,121031,92155,28876,71.7,2.17,241225783.28,138,127470,26.7,497.75,24,1,Bolgatty Palace,Travel Group,118089,124337,131001,123614,0.99
2023-10-28,2023,10,Biennale,Arts & Cultural,102203,77171,25032,52.4,2.0,212499251.44,571,120959,30.52,4.67,24,0,Lulu Mall,Travel Group,98547,106733,100611,102023,1.05
2022-06-21,2022,6,Wedding Season,MICE,117882,80475,37407,73.37,1.68,171105143.83,165,122880,26.82,394.77,5,1,Mattancherry Palace,Government Package,118915,122189,99822,114702,0.81
2022-07-11,2022,7,Peak Season,Tourism,90661,66651,24010,83.24,5.46,129567605.67,513,94972,27.43,79.93,36,0,Mattancherry Palace,Government Package,91928,85148,97484,91305,1.08
2024-12-08,2024,12,Conference,MICE,83682,56372,27310,86.29,3.16,217905975.51,175,99912,29.33,16.75,24,0,Bolgatty Palace,Self-Planned,83787,74155,74197,78955,0.91
2022-10-17,2022,10,Onam Festival,Festival,66022,45504,20518,50.53,4.84,116711127.5,85,70418,32.04,429.72,39,1,Fort Kochi,Self-Planned,70084,69878,77998,70995,0.94
2023-07-01,2023,7,Onam Festival,Festival,71407,49423,21984,62.72,4.71,173201314.02,117,81822,24.06,39.51,14,0,Fort Kochi,Self-Planned,75838,70250,81529,74756,1.09
2022-02-07,2022,2,Peak Season,Tourism,94645,61448,33197,67.35,4.99,151613049.31,1169,105669,26.99,338.69,31,1,Mattancherry Palace,Government Package,92633,97680,94237,94798,1.0
2022-07-30,2022,7,Biennale,Arts & Cultural,96657,71965,24692,79.58,4.59,270241004.03,1820,101078,26.4,131.69,26,0,Cherai Beach,Government Package,98647,101965,80873,94535,1.01
2023-05-01,2023,5,Biennale,Arts & Cultural,117560,85767,31793,85.64,4.0,146542307.37,1437,130050,28.13,0.78,48,0,Marine Drive,Self-Planned,117391,121055,101640,114411,1.11
2023-09-03,2023,9,Conference,MICE,67274,50924,16350,62.15,3.86,162467151.01,198,74201,30.71,4.65,8,0,Chinese Fishing Nets,Government Package,72000,75246,47317,65459,0.98
2023-07-09,2023,7,No Major Event,None,59696,39459,20237,91.39,3.06,159832097.31,167,66115,31.59,316.27,32,1,Chottanikkara Temple,Travel Group,64390,57001,62414,60875,1.2
2022-01-26,2022,1,Conference,MICE,106426,83987,22439,90.31,4.3,301857044.56,131,119347,25.6,573.05,22,1,Mattancherry Palace,Self-Planned,102001,111831,103804,106015,0.83
2023-01-02,2023,1,Cruise Season,Cruise Tourism,88600,61732,26868,85.16,2.27,197506641.75,843,96664,30.69,246.01,42,0,Fort Kochi,Government Package,87789,87135,104431,91988,1.13
2023-01-12,2023,1,Cruise Season,Cruise Tourism,61634,39881,21753,90.08,5.02,132132350.87,2118,75470,32.23,491.36,32,1,Cherai Beach,Self-Planned,57890,65771,47131,58106,0.98
2023-12-12,2023,12,Cruise Season,Cruise Tourism,127019,86105,40914,82.29,2.06,175003039.46,268,144494,26.66,382.67,28,1,Lulu Mall,Private Agency,130234,120805,137644,128925,1.17
2022-07-14,2022,7,Onam Festival,Festival,65425,45605,19820,55.34,4.76,139802260.76,53,83748,25.92,262.94,44,0,Fort Kochi,Government Package,69138,72520,59014,66524,0.96
2024-02-26,2024,2,Conference,MICE,81211,61814,19397,72.39,4.47,125992474.12,46,92353,25.55,476.56,16,1,Hill Palace,Government Package,83556,84808,69777,79838,1.06
2023-03-17,2023,3,No Major Event,None,98351,70173,28178,66.76,4.33,179462233.34,62,117516,26.75,159.31,25,0,Chinese Fishing Nets,Travel Group,96878,105254,83818,96075,0.88
2022-05-06,2022,5,Cruise Season,Cruise Tourism,107354,72230,35124,63.98,4.09,237231553.44,202,114017,29.21,591.65,12,1,Fort Kochi,Travel Group,108427,110365,114910,110264,0.95
2022-09-24,2022,9,Wedding Season,MICE,101486,61846,39640,62.27,2.77,202155033.41,88,119771,32.83,496.31,38,1,Mattancherry Palace,Self-Planned,98637,110991,117223,107084,0.97
2023-06-01,2023,6,Onam Festival,Festival,82512,57290,25222,69.08,3.23,130041475.39,163,100469,28.75,313.6,21,1,Hill Palace,Private Agency,82349,84863,70886,80152,1.03
2023-12-15,2023,12,Peak Season,Tourism,55281,35141,20140,90.48,3.43,140764376.49,2752,70882,24.15,135.9,23,0,Bolgatty Palace,Travel Group,60192,45388,71734,58148,0.89
2022-10-17,2022,10,Monsoon Dip,Low Season,76298,55116,21182,64.91,3.89,110486360.66,125,85185,28.16,373.82,6,1,Bolgatty Palace,Self-Planned,71956,68361,82216,74707,1.16
2022-06-16,2022,6,Onam Festival,Festival,62075,45715,16360,65.76,3.48,102817963.47,181,79503,32.5,481.95,33,1,Cherai Beach,Self-Planned,66283,67976,76315,68162,1.03
2022-05-13,2022,5,Monsoon Dip,Low Season,116371,73882,42489,50.97,1.63,228447216.18,96,133731,31.69,330.79,45,1,Cherai Beach,Government Package,117236,115891,118856,117088,0.81
2022-05-31,2022,5,Monsoon Dip,Low Season,90388,59735,30653,53.94,2.43,249792108.13,21,95273,30.96,519.11,42,1,Chinese Fishing Nets,Travel Group,94350,89577,110191,96126,1.12
2024-12-31,2024,12,No Major Event,None,68351,45108,23243,68.42,5.44,164036715.47,154,75471,26.46,322.83,1,1,Fort Kochi,Self-Planned,66030,67277,59928,65396,0.87
2023-06-21,2023,6,Cruise Season,Cruise Tourism,117581,91455,26126,65.52,2.13,192588601.39,132,125702,24.39,7.22,0,0,Chinese Fishing Nets,Government Package,118917,112332,131096,119981,0.83
2023-01-05,2023,1,Biennale,Arts & Cultural,124400,95428,28972,92.36,2.44,294849969.3,641,141127,26.06,554.18,22,1,Fort Kochi,Self-Planned,123548,129946,132778,127668,0.86
2024-09-23,2024,9,Onam Festival,Festival,60118,40152,19966,63.14,2.0,163183537.12,110,69982,25.64,333.13,22,1,Chinese Fishing Nets,Private Agency,59527,63254,42121,56255,0.91
2022-07-08,2022,7,Cruise Season,Cruise Tourism,108021,80073,27948,75.11,4.38,263751791.09,1207,125120,32.9,231.79,6,0,Marine Drive,Travel Group,112301,114945,96813,108020,1.06
2022-02-28,2022,2,Onam Festival,Festival,61798,46125,15673,71.78,1.51,137769184.37,134,68445,28.51,25.31,16,0,Marine Drive,Government Package,61385,67475,56675,61833,0.95
2024-06-29,2024,6,Biennale,Arts & Cultural,109144,70864,38280,71.55,5.29,259044270.71,1984,113960,24.85,273.14,46,0,Lulu Mall,Self-Planned,106912,116285,116521,112215,1.16
2023-07-21,2023,7,Wedding Season,MICE,83215,60027,23188,79.68,2.38,100804524.89,101,100642,28.92,415.08,15,1,Fort Kochi,Government Package,78530,93055,84391,84797,1.08
2023-02-24,2023,2,Cruise Season,Cruise Tourism,53431,32448,20983,62.89,2.81,85651357.94,1083,72661,32.87,6.38,10,0,Marine Drive,Self-Planned,52054,48503,61163,53787,1.17
2024-08-05,2024,8,Monsoon Dip,Low Season,52731,39423,13308,77.86,5.32,66524745.12,147,70225,29.63,287.57,7,0,Marine Drive,Travel Group,54164,54845,53118,53714,0.93
2024-11-10,2024,11,Biennale,Arts & Cultural,78547,53127,25420,89.95,1.97,113704663.4,1462,83522,28.93,542.92,2,1,Cherai Beach,Private Agency,76094,78898,90293,80958,0.96
2024-11-24,2024,11,Peak Season,Tourism,78945,59635,19310,57.18,3.16,185550910.78,1952,87384,30.55,531.93,8,1,Cherai Beach,Travel Group,74100,72045,91456,79136,0.94
2024-10-13,2024,10,Peak Season,Tourism,122664,98052,24612,92.25,1.92,154611964.06,2551,139454,30.41,539.84,29,1,Fort Kochi,Self-Planned,117761,119909,110505,117709,0.95
2022-06-25,2022,6,No Major Event,None,53225,32118,21107,63.61,2.43,133205183.26,147,61048,24.86,549.52,9,1,Bolgatty Palace,Private Agency,52365,46860,53841,51572,1.02
2023-10-27,2023,10,Peak Season,Tourism,112597,73939,38658,75.28,5.4,273536913.4,753,131898,27.85,165.97,15,0,Mattancherry Palace,Private Agency,113014,107689,101295,108648,1.07
2024-03-24,2024,3,Wedding Season,MICE,84466,51245,33221,53.43,4.94,210011644.18,24,89436,31.82,91.93,43,0,Fort Kochi,Government Package,86046,74725,77402,80659,1.19
2022-08-27,2022,8,Conference,MICE,93114,57858,35256,88.43,3.67,275201595.13,175,102518,31.32,321.45,3,1,Bolgatty Palace,Government Package,94960,86041,96128,92560,0.94
2023-10-02,2023,10,Monsoon Dip,Low Season,115397,72880,42517,80.26,2.07,181474000.74,67,123279,24.82,523.41,30,1,Bolgatty Palace,Self-Planned,115848,114774,110802,114205,1.01
2024-03-07,2024,3,Cruise Season,Cruise Tourism,83963,57884,26079,87.72,3.18,113345226.35,852,101901,26.25,256.6,43,0,Lulu Mall,Government Package,81126,80874,97168,85782,0.82
2023-01-13,2023,1,Monsoon Dip,Low Season,97727,62114,35613,83.17,3.14,218172258.92,187,104769,29.12,511.79,12,1,Lulu Mall,Government Package,94743,89173,85429,91768,1.11
